"codigo","color_por_confirmar","color_final","referencias"
"4SH","","","MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL GOMMAS | MOCHILAS::MORRAL PC CARTULINA | MOCHILAS::MORRAL ACUARELA | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::AGAPEC | MOCHILA  - RUEDAS::MORRAL BOMPER RENGLONES | MOCHILA  - RUEDAS::MORRAL P TABLET Y PC CARTA"
"4SJ","","","MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL LAPIZ | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::PORTAMINAS | CARTUCHERAS Y LONCHERAS::TAJALAPIZ | MOCHILA  - RUEDAS::MORRAL RUE BOMPER RENGLON | MOCHILA  - RUEDAS::MORRAL RUE RENGLON"
"4SK","","","CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::EREZO"
"4SX","","","MOCHILAS::MORRAL TOCAX"
"4SY","","","MOCHILAS::MORRAL TOCAX"
"4SZ","","","CARTUCHERAS Y LONCHERAS::KIJAL"
"4VK","","","MOCHILAS::MORRAL LAPICERO"
"4VM","","","CARTUCHERAS Y LONCHERAS::TAJALAPIZ"
"5E2","","","LONCHERAS::NOTEBOOK"
"5EN","","","MOCHILA  - RUEDAS::MORRAL RUE CONDORITOT"
"5EO","","","MULTIUSOS::PANCRA"
"5ES","","","CARTUCHERAS Y LONCHERAS::LAUS"
"5EY","","","LONCHERAS::PIZARRA | MOCHILAS::MORRAL LAPIZ | MOCHILAS::MORRAL ACUARELA VERDE PLUMA S E | MOCHILA  - RUEDAS::MORRAL BOMPER RENGLON"
"5EZ","","","LONCHERAS::NOTEBOOK | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL TABLET Y PC CARTULINA | MOCHILAS::MORRAL LAPIZ"
"5GP","","","MOCHILAS::MORRAL LAPIZ"
"5I5","","","MOCHILAS::MORRAL ACUARELA"
"5L0","","","MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL LAPIZ | CARTUCHERAS Y LONCHERAS::AGAPEC"
"5L2","","","MOCHILAS::MORRAL TIJERAS | MOCHILAS::MORRAL RAYOL | CARTUCHERAS Y LONCHERAS::AGAPEC | MOCHILA  - RUEDAS::MORRAL RUE BOMPER RENGLON"
"5L3","","","MOCHILAS::MORRAL VIRGIL"
"5L6","","","CARTUCHERAS Y LONCHERAS::MULTIUSOS KIJAL"
"5L8","","","LONCHERAS::BORRADOR | LONCHERAS::PIZARRA | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL LAPIZ | CARTUCHERAS Y LONCHERAS::AGAPEC"
"5L9","","","LONCHERAS::BORRADOR | LONCHERAS::PIZARRA | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::PIZARRA | MOCHILA  - RUEDAS::MORRAL RUE BOMPER RENGLON"
"5LE","","","MOCHILAS::MORRAL TOCAX"
"5LF","","","MOCHILAS::MORRAL TOCAX"
"5LO","","","MOCHILA  - RUEDAS::MORRAL RUE BOMPER RENGLON"
"5LP","","","LONCHERAS::BORRADOR | LONCHERAS::PIZARRA | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL GOMMAS | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL LAPIZ | CARTUCHERAS Y LONCHERAS::PORTAMINAS | CARTUCHERAS Y LONCHERAS::TAJALAPIZ"
"5LQ","","","LONCHERAS::BORRADOR | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL LAPIZ | MOCHILA  - RUEDAS::MORRAL RUE RENGLON"
"5LR","","","MOCHILAS::MORRAL TABLET Y PC CARTULINA"
"5LS","","","MOCHILAS::MORRAL YEREM | MOCHILAS::MORRAL JAIDENY CELESTE"
"5LT","","","CARTUCHERAS Y LONCHERAS::PORTAMINAS"
"5LV","","","LONCHERAS::PIZARRA | MOCHILAS::MORRAL TIJERAS | CARTUCHERAS Y LONCHERAS::AGAPEC | CARTUCHERAS Y LONCHERAS::ESCUADRA | CARTUCHERAS Y LONCHERAS::PIZARRA | MALETAS::MALETA MORAY VARIAS COLORES | MOCHILA  - RUEDAS::MORRAL BOMPER RENGLON"
"5LW","","","MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL LAPIZ | MOCHILAS::MORRAL PC CARTULINA | MOCHILAS::MORRAL TABLET Y PC CARTULINA | MOCHILAS::MORRAL GOMMAS | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::TAJALAPIZ | MALETAS::MALETA PEGASES"
"5MH","","","CARTUCHERAS Y LONCHERAS::PIZARRA"
"5R9","","","LONCHERAS::BORRADOR | LONCHERAS::PIZARRA | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | CARTUCHERAS Y LONCHERAS::PIZARRA | CARTUCHERAS Y LONCHERAS::SOBRE"
"5RB","","","LONCHERAS::PIZARRA | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL LAPIZ | CARTUCHERAS Y LONCHERAS::SOBRE"
"5RL","","","MOCHILAS::MORRAL TIJERAS"
"5RS","","","MOCHILAS::MORRAL ACUARELA"
"5S3","","","MOCHILAS::MORRAL TOCAX | CARTUCHERAS Y LONCHERAS::KIJAL"
"5S4","","","MOCHILAS::MORRAL TOCAX"
"5S6","","","LONCHERAS::BORRADOR | MOCHILAS::MORRAL GOMMAS | MOCHILAS::MORRAL ACUARELA | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::ESCUADRA | MOCHILA  - RUEDAS::MORRAL RUE BOMPER RENGLON | MOCHILA  - RUEDAS::MORRAL BOMPER RENGLON"
"5S8","","","MOCHILAS::MORRAL KRIMMBLER | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::EREZO"
"5SA","","","CARTUCHERAS Y LONCHERAS::KRETONA | CARTUCHERAS Y LONCHERAS::LAUS"
"5SE","","","MOCHILAS::MORRAL EMELINDA"
"5SI","","","MOCHILAS::MORRAL NAMER | MOCHILAS::MORRAL NAMMER | CARTUCHERAS Y LONCHERAS::KIJAL | CARTUCHERAS Y LONCHERAS::LAUS"
"5SJ","","","MOCHILAS::MORRAL NAMER | MOCHILAS::MORRAL ANTIQUE | CARTUCHERAS Y LONCHERAS::LAUS | CARTUCHERAS Y LONCHERAS::KIRIBY"
"5SL","","","MOCHILAS::MORRAL TOCAX"
"5SN","","","MOCHILAS::MORRAL TOCAX"
"5SO","","","MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::AGAPEC | CARTUCHERAS Y LONCHERAS::PIZARRA"
"5SP","","","DAMAS::CHAQUETA QUESTA"
